create_date,forecast_date,data_source_marker,network_id,master_network_id,timeslot,impression_type,forecast_impressions
2018-02-28,2018-01-03,R,33,,35,H,149217
2018-02-28,2018-01-03,R,33,,36,H,142441
2018-02-28,2018-01-03,R,33,,37,H,164131
2018-02-28,2018-01-03,R,33,,38,H,169534
2018-02-28,2018-01-03,R,33,,39,H,167348
2018-02-28,2018-01-03,R,33,,40,H,182013
2018-02-28,2018-01-03,R,33,,41,H,187672
2018-02-28,2018-01-03,R,33,,42,H,194979
2018-02-28,2018-01-03,R,33,,43,H,207538
2018-02-28,2018-01-03,R,33,,44,H,196238
2018-02-28,2018-01-03,R,33,,45,H,213610
2018-02-28,2018-01-03,R,33,,46,H,213065
2018-02-28,2018-01-03,R,33,,47,H,215368
2018-02-28,2018-01-03,R,33,,48,H,223054
2018-02-28,2018-01-03,R,33,,49,H,211274
2018-02-28,2018-01-03,R,33,,50,H,207617
2018-02-28,2018-01-03,R,33,,51,H,220270
2018-02-28,2018-01-03,R,33,,52,H,205507
2018-02-28,2018-01-03,R,33,,53,H,216324
2018-02-28,2018-01-03,R,33,,54,H,207493
2018-02-28,2018-01-03,R,33,,55,H,207323
2018-02-28,2018-01-03,R,33,,56,H,210128
2018-02-28,2018-01-03,R,33,,57,H,215230
2018-02-28,2018-01-03,R,33,,58,H,218467
2018-02-28,2018-01-03,R,33,,59,H,222521
2018-02-28,2018-01-03,R,33,,60,H,234727
2018-02-28,2018-01-03,R,33,,61,H,247950
2018-02-28,2018-01-03,R,33,,62,H,249864
2018-02-28,2018-01-03,R,33,,63,H,259650
2018-02-28,2018-01-03,R,33,,64,H,262474
2018-02-28,2018-01-03,R,33,,65,H,267989
2018-02-28,2018-01-03,R,33,,66,H,293789
2018-02-28,2018-01-03,R,33,,67,H,286353
2018-02-28,2018-01-03,R,33,,68,H,314254
2018-02-28,2018-01-03,R,33,,69,H,312923
2018-02-28,2018-01-03,R,33,,70,H,324598
2018-02-28,2018-01-03,R,33,,71,H,328934
2018-02-28,2018-01-03,R,33,,72,H,336009
2018-02-28,2018-01-03,R,33,,73,H,358671
2018-02-28,2018-01-03,R,33,,74,H,369249
2018-02-28,2018-01-03,R,33,,75,H,368696
2018-02-28,2018-01-03,R,33,,76,H,376421
2018-02-28,2018-01-03,R,33,,77,H,401208
2018-02-28,2018-01-03,R,33,,78,H,404936
2018-02-28,2018-01-03,R,33,,79,H,424411
2018-02-28,2018-01-03,R,33,,80,H,435285
2018-02-28,2018-01-03,R,33,,81,H,447151
2018-02-28,2018-01-03,R,33,,82,H,461640
2018-02-28,2018-01-03,R,33,,83,H,464575
2018-02-28,2018-01-03,R,33,,84,H,481707
2018-02-28,2018-01-03,R,33,,85,H,480752
2018-02-28,2018-01-03,R,33,,86,H,495514
2018-02-28,2018-01-03,R,33,,87,H,495125
2018-02-28,2018-01-03,R,33,,88,H,512521
2018-02-28,2018-01-03,R,33,,89,H,520789
2018-02-28,2018-01-03,R,33,,90,H,519287
2018-02-28,2018-01-03,R,33,,91,H,523479
2018-02-28,2018-01-03,R,33,,92,H,524250
2018-02-28,2018-01-03,R,33,,93,H,517630
2018-02-28,2018-01-03,R,33,,94,H,521179
2018-02-28,2018-01-03,R,33,,95,H,512463
2018-02-28,2018-01-03,R,33,,96,H,508973
2018-02-28,2018-01-04,R,33,,1,H,487980
2018-02-28,2018-01-04,R,33,,2,H,487975
2018-02-28,2018-01-04,R,33,,3,H,460801
2018-02-28,2018-01-04,R,33,,4,H,452554
2018-02-28,2018-01-04,R,33,,5,H,427960
2018-02-28,2018-01-04,R,33,,6,H,406939
